iter	Passed	Remaining
0	87	87780
1	89	44870
2	91	30454
3	93	23309
4	95	18953
5	96	16064
6	98	14008
7	100	12455
8	102	11243
9	103	10268
10	105	9484
11	106	8805
12	108	8223
13	109	7727
14	111	7312
15	112	6938
16	114	6603
17	115	6307
18	117	6051
19	118	5815
20	120	5599
21	121	5402
22	122	5220
23	124	5063
24	126	4914
25	127	4778
26	129	4649
27	130	4541
28	132	4438
29	133	4331
30	135	4230
31	137	4146
32	138	4058
33	139	3974
34	141	3893
35	142	3825
36	144	3755
37	145	3691
38	147	3633
39	149	3583
40	150	3525
41	152	3469
42	153	3415
43	154	3364
44	156	3319
45	157	3272
46	159	3228
47	160	3185
48	162	3144
49	163	3106
50	164	3068
51	165	3022
52	167	2986
53	168	2953
54	170	2921
55	171	2890
56	172	2859
57	174	2829
58	175	2804
59	177	2778
60	178	2750
61	180	2725
62	181	2701
63	183	2678
64	184	2661
65	186	2638
66	188	2618
67	189	2596
68	190	2574
69	192	2553
70	193	2533
71	194	2510
72	196	2490
73	197	2471
74	198	2453
75	200	2437
76	201	2421
77	203	2408
78	205	2393
79	206	2379
80	208	2364
81	209	2350
82	211	2336
83	213	2324
84	214	2311
85	216	2298
86	217	2284
87	219	2272
88	220	2261
89	222	2249
90	224	2238
91	225	2229
92	227	2213
93	228	2203
94	230	2192
95	231	2182
96	233	2175
97	235	2168
98	237	2160
99	239	2157
100	241	2149
101	243	2141
102	245	2137
103	247	2129
104	248	2120
105	250	2111
106	252	2105
107	253	2097
108	255	2090
109	257	2082
110	259	2077
111	261	2072
112	263	2066
113	265	2060
114	266	2053
115	268	2046
116	270	2039
117	272	2033
118	273	2025
119	275	2018
120	277	2014
121	279	2008
122	280	2000
123	282	1994
124	284	1989
125	285	1983
126	287	1977
127	289	1973
128	291	1967
129	293	1961
130	294	1954
131	296	1949
132	298	1943
133	299	1937
134	301	1930
135	303	1927
136	304	1921
137	306	1915
138	308	1910
139	310	1905
140	311	1899
141	313	1894
142	315	1890
143	317	1885
144	318	1879
145	320	1874
146	322	1871
147	324	1865
148	325	1860
149	327	1855
150	329	1850
151	330	1845
152	332	1840
153	334	1836
154	335	1831
155	337	1826
156	339	1821
157	341	1819
158	343	1814
159	344	1809
160	346	1806
161	348	1803
162	350	1799
163	352	1794
164	353	1790
165	355	1785
166	356	1780
167	358	1775
168	360	1771
169	361	1766
170	363	1761
171	364	1755
172	366	1752
173	368	1748
174	369	1743
175	371	1738
176	373	1738
177	375	1734
178	377	1730
179	379	1728
180	381	1725
181	383	1723
182	385	1721
183	387	1716
184	388	1711
185	390	1707
186	392	1704
187	393	1700
188	395	1695
189	396	1691
190	398	1688
191	400	1685
192	402	1683
193	404	1682
194	406	1679
195	408	1676
196	410	1674
197	412	1670
198	413	1666
199	415	1662
200	417	1658
201	418	1655
202	420	1651
203	422	1647
204	424	1644
205	425	1640
206	427	1636
207	428	1633
208	430	1629
209	432	1625
210	433	1621
211	435	1617
212	436	1613
213	438	1609
214	439	1604
215	441	1601
216	442	1597
217	444	1593
218	445	1590
219	447	1586
220	448	1582
221	450	1579
222	452	1575
223	453	1571
224	455	1567
225	456	1563
226	457	1559
227	459	1555
228	460	1551
229	462	1547
230	463	1544
231	465	1540
232	466	1536
233	468	1533
234	469	1529
235	471	1526
236	472	1522
237	474	1519
238	476	1515
239	477	1512
240	479	1508
241	480	1505
242	482	1502
243	483	1498
244	485	1495
245	486	1491
246	488	1489
247	490	1485
248	491	1483
249	493	1479
250	495	1477
251	496	1473
252	497	1470
253	499	1466
254	500	1463
255	502	1460
256	504	1457
257	505	1453
258	507	1451
259	508	1448
260	510	1445
261	511	1441
262	513	1439
263	515	1436
264	516	1433
265	518	1430
266	519	1426
267	521	1423
268	522	1420
269	524	1417
270	525	1414
271	527	1411
272	528	1408
273	530	1404
274	531	1401
275	533	1398
276	534	1396
277	536	1392
278	537	1389
279	539	1386
280	540	1383
281	542	1380
282	543	1377
283	545	1374
284	546	1371
285	548	1368
286	549	1365
287	551	1362
288	552	1360
289	554	1357
290	555	1354
291	557	1351
292	558	1348
293	560	1345
294	561	1342
295	563	1340
296	564	1336
297	566	1334
298	568	1332
299	570	1330
300	571	1328
301	573	1325
302	574	1322
303	576	1319
304	577	1316
305	579	1313
306	580	1310
307	582	1309
308	584	1307
309	586	1304
310	588	1302
311	589	1300
312	591	1298
313	593	1295
314	594	1292
315	595	1290
316	597	1287
317	599	1284
318	600	1282
319	602	1279
320	603	1276
321	605	1274
322	606	1271
323	608	1268
324	609	1265
325	611	1263
326	612	1260
327	614	1258
328	615	1255
329	617	1253
330	618	1250
331	620	1248
332	621	1245
333	623	1243
334	624	1240
335	626	1238
336	628	1235
337	629	1233
338	631	1231
339	633	1228
340	634	1226
341	636	1224
342	638	1222
343	639	1219
344	641	1217
345	642	1214
346	644	1212
347	645	1210
348	647	1207
349	648	1204
350	650	1202
351	652	1200
352	653	1197
353	654	1195
354	657	1193
355	658	1191
356	660	1189
357	662	1187
358	663	1184
359	664	1182
360	666	1179
361	667	1177
362	669	1175
363	671	1172
364	672	1170
365	674	1168
366	676	1166
367	677	1163
368	679	1161
369	680	1159
370	682	1157
371	684	1154
372	685	1152
373	687	1150
374	689	1148
375	690	1146
376	691	1143
377	693	1141
378	695	1139
379	697	1137
380	698	1134
381	700	1132
382	701	1130
383	703	1128
384	705	1126
385	706	1124
386	708	1122
387	709	1119
388	711	1117
389	712	1115
390	714	1113
391	716	1111
392	717	1108
393	719	1106
394	721	1105
395	723	1103
396	724	1100
397	726	1098
398	727	1096
399	729	1094
400	730	1091
401	732	1089
402	734	1087
403	735	1085
404	737	1083
405	738	1080
406	740	1079
407	742	1077
408	743	1074
409	745	1072
410	747	1070
411	748	1068
412	750	1066
413	751	1064
414	753	1062
415	755	1060
416	756	1058
417	758	1055
418	760	1053
419	761	1051
420	763	1049
421	764	1047
422	766	1045
423	767	1042
424	769	1040
425	770	1038
426	772	1036
427	774	1034
428	775	1032
429	777	1030
430	779	1028
431	780	1026
432	782	1024
433	783	1022
434	785	1020
435	787	1018
436	788	1016
437	790	1013
438	792	1012
439	793	1009
440	794	1007
441	796	1005
442	797	1003
443	799	1001
444	800	998
445	802	996
446	803	994
447	805	992
448	807	990
449	808	988
450	809	985
451	811	984
452	813	981
453	814	979
454	815	977
455	817	975
456	819	973
457	820	971
458	822	969
459	824	967
460	825	965
461	827	963
462	828	961
463	830	959
464	831	957
465	833	955
466	835	953
467	836	951
468	838	949
469	839	946
470	841	944
471	842	942
472	844	940
473	845	938
474	847	936
475	848	934
476	850	932
477	851	930
478	853	928
479	854	925
480	856	924
481	857	921
482	859	919
483	860	917
484	862	915
485	863	913
486	865	911
487	866	909
488	868	907
489	870	906
490	872	904
491	873	902
492	875	900
493	877	898
494	878	896
495	880	894
496	882	893
497	884	891
498	885	889
499	887	887
500	889	885
501	891	884
502	892	882
503	894	880
504	896	878
505	898	876
506	899	874
507	901	873
508	903	871
509	905	869
510	906	867
511	908	866
512	910	864
513	911	862
514	913	860
515	915	858
516	917	856
517	919	855
518	920	853
519	922	851
520	924	849
521	926	847
522	927	846
523	929	844
524	931	842
525	932	840
526	934	838
527	935	836
528	937	834
529	938	832
530	940	830
531	942	828
532	943	826
533	945	824
534	946	823
535	948	821
536	950	819
537	951	817
538	953	815
539	955	813
540	956	811
541	958	809
542	960	808
543	961	806
544	963	804
545	965	802
546	967	801
547	968	799
548	970	797
549	971	795
550	973	793
551	975	791
552	976	789
553	977	787
554	979	785
555	981	783
556	982	781
557	984	779
558	986	777
559	987	776
560	989	774
561	990	772
562	992	770
563	994	768
564	996	766
565	997	764
566	999	763
567	1000	761
568	1002	759
569	1003	757
570	1005	755
571	1007	753
572	1008	751
573	1010	749
574	1011	747
575	1013	745
576	1014	743
577	1016	741
578	1017	740
579	1019	738
580	1020	736
581	1022	734
582	1024	732
583	1026	730
584	1027	728
585	1028	726
586	1030	724
587	1032	723
588	1033	721
589	1034	719
590	1036	717
591	1038	715
592	1039	713
593	1041	711
594	1042	709
595	1044	707
596	1045	706
597	1047	704
598	1049	702
599	1050	700
600	1052	698
601	1053	696
602	1055	694
603	1056	692
604	1058	691
605	1060	689
606	1061	687
607	1063	685
608	1065	683
609	1066	682
610	1068	680
611	1069	678
612	1071	676
613	1073	674
614	1074	672
615	1076	671
616	1078	669
617	1082	669
618	1085	667
619	1087	666
620	1089	665
621	1091	663
622	1093	661
623	1095	660
624	1097	658
625	1099	656
626	1102	655
627	1104	654
628	1106	652
629	1109	651
630	1111	649
631	1112	648
632	1116	647
633	1118	645
634	1120	644
635	1122	642
636	1123	640
637	1125	638
638	1127	636
639	1128	634
640	1130	633
641	1131	631
642	1134	629
643	1137	628
644	1139	627
645	1141	625
646	1143	623
647	1145	622
648	1147	620
649	1148	618
650	1149	616
651	1151	614
652	1153	612
653	1155	611
654	1156	609
655	1158	607
656	1160	605
657	1162	603
658	1163	602
659	1165	600
660	1166	598
661	1168	596
662	1169	594
663	1171	592
664	1173	590
665	1174	589
666	1175	587
667	1177	585
668	1179	583
669	1181	581
670	1182	579
671	1184	578
672	1186	576
673	1188	574
674	1190	573
675	1191	571
676	1193	569
677	1194	567
678	1196	565
679	1198	563
680	1199	561
681	1201	560
682	1203	558
683	1204	556
684	1206	554
685	1208	552
686	1209	551
687	1211	549
688	1212	547
689	1214	545
690	1216	543
691	1217	541
692	1218	540
693	1220	538
694	1222	536
695	1223	534
696	1225	532
697	1226	530
698	1228	529
699	1230	527
700	1231	525
701	1233	523
702	1234	521
703	1236	519
704	1237	518
705	1239	516
706	1240	514
707	1242	512
708	1244	510
709	1245	508
710	1247	507
711	1249	505
712	1250	503
713	1252	501
714	1253	499
715	1255	498
716	1257	496
717	1258	494
718	1260	492
719	1261	490
720	1263	488
721	1264	487
722	1266	485
723	1267	483
724	1269	481
725	1270	479
726	1272	477
727	1273	475
728	1275	474
729	1277	472
730	1279	470
731	1281	469
732	1282	467
733	1284	465
734	1285	463
735	1287	461
736	1289	460
737	1290	458
738	1292	456
739	1294	454
740	1295	452
741	1297	451
742	1298	449
743	1300	447
744	1302	445
745	1303	443
746	1305	442
747	1306	440
748	1308	438
749	1309	436
750	1311	434
751	1312	432
752	1314	431
753	1316	429
754	1317	427
755	1319	425
756	1320	424
757	1322	422
758	1324	420
759	1325	418
760	1327	416
761	1328	415
762	1330	413
763	1332	411
764	1333	409
765	1335	408
766	1337	406
767	1338	404
768	1340	402
769	1342	400
770	1343	399
771	1345	397
772	1346	395
773	1348	393
774	1350	391
775	1351	390
776	1353	388
777	1355	386
778	1356	384
779	1358	383
780	1360	381
781	1361	379
782	1363	377
783	1364	376
784	1366	374
785	1368	372
786	1369	370
787	1371	368
788	1372	367
789	1374	365
790	1375	363
791	1377	361
792	1378	359
793	1380	358
794	1381	356
795	1383	354
796	1385	352
797	1386	351
798	1388	349
799	1389	347
800	1391	345
801	1393	343
802	1394	342
803	1396	340
804	1397	338
805	1399	336
806	1400	335
807	1402	333
808	1403	331
809	1405	329
810	1407	327
811	1408	326
812	1410	324
813	1411	322
814	1413	320
815	1414	318
816	1416	317
817	1417	315
818	1419	313
819	1420	311
820	1422	310
821	1423	308
822	1425	306
823	1426	304
824	1428	302
825	1429	301
826	1431	299
827	1433	297
828	1434	295
829	1436	294
830	1437	292
831	1439	290
832	1440	288
833	1442	287
834	1443	285
835	1445	283
836	1446	281
837	1448	279
838	1449	278
839	1451	276
840	1452	274
841	1454	272
842	1456	271
843	1457	269
844	1459	267
845	1460	265
846	1462	264
847	1464	262
848	1465	260
849	1467	258
850	1468	257
851	1471	255
852	1473	253
853	1474	252
854	1475	250
855	1477	248
856	1479	246
857	1480	245
858	1481	243
859	1483	241
860	1484	239
861	1486	237
862	1487	236
863	1489	234
864	1490	232
865	1492	230
866	1493	229
867	1495	227
868	1497	225
869	1498	223
870	1500	222
871	1501	220
872	1503	218
873	1505	216
874	1506	215
875	1508	213
876	1509	211
877	1511	209
878	1512	208
879	1514	206
880	1515	204
881	1517	203
882	1518	201
883	1520	199
884	1522	197
885	1523	196
886	1525	194
887	1526	192
888	1528	190
889	1529	189
890	1531	187
891	1532	185
892	1534	183
893	1535	182
894	1537	180
895	1539	178
896	1540	176
897	1542	175
898	1543	173
899	1545	171
900	1547	169
901	1548	168
902	1550	166
903	1551	164
904	1552	163
905	1554	161
906	1555	159
907	1557	157
908	1559	156
909	1560	154
910	1562	152
911	1563	150
912	1565	149
913	1566	147
914	1567	145
915	1569	143
916	1570	142
917	1572	140
918	1573	138
919	1575	137
920	1577	135
921	1578	133
922	1580	131
923	1581	130
924	1583	128
925	1585	126
926	1586	124
927	1588	123
928	1589	121
929	1591	119
930	1592	118
931	1594	116
932	1595	114
933	1597	112
934	1598	111
935	1600	109
936	1601	107
937	1603	105
938	1604	104
939	1606	102
940	1607	100
941	1609	99
942	1610	97
943	1612	95
944	1613	93
945	1615	92
946	1616	90
947	1617	88
948	1619	87
949	1621	85
950	1622	83
951	1624	81
952	1625	80
953	1627	78
954	1629	76
955	1630	75
956	1632	73
957	1633	71
958	1635	69
959	1636	68
960	1638	66
961	1640	64
962	1641	63
963	1643	61
964	1644	59
965	1646	57
966	1647	56
967	1649	54
968	1650	52
969	1652	51
970	1654	49
971	1656	47
972	1657	45
973	1659	44
974	1661	42
975	1663	40
976	1664	39
977	1666	37
978	1667	35
979	1669	34
980	1670	32
981	1672	30
982	1673	28
983	1675	27
984	1676	25
985	1678	23
986	1679	22
987	1681	20
988	1682	18
989	1684	17
990	1685	15
991	1687	13
992	1688	11
993	1690	10
994	1691	8
995	1693	6
996	1694	5
997	1696	3
998	1697	1
999	1699	0
